turn,algorithm,hits,originDatabase,originAlgorithm,minTile,maxTile,minBoardValue,maxBoardValue,sumBoardValue,minBoardScore,maxBoardScore,sumBoardScore
34,treeDb_firstlastmaxtile,42213,20950,21263,2,64,68,136,3334994,164,344,9363660
34,treeDb_firstlastprogress,36376,14894,21482,2,64,68,136,2868282,164,344,7966828
34,treeDb_followMaxTile,42209,21086,21123,2,64,68,136,3335026,164,344,9372304
34,treeDb_followProgress,36089,14686,21403,2,64,68,136,2844784,164,344,7899080
34,treeDb_last,42681,18260,24421,2,64,68,136,3373344,164,344,9425472
35,all,233396,104182,129214,2,64,70,140,18939438,168,352,54165140
35,treeDb_first,41452,17471,23981,2,64,70,140,3365578,168,348,9605868
35,treeDb_firstlastmaxtile,40908,20623,20285,2,64,70,140,3321380,172,348,9548352
35,treeDb_firstlastprogress,34418,14040,20378,2,64,70,140,2788714,172,344,7940876
35,treeDb_followMaxTile,40923,20512,20411,2,64,70,140,3323226,168,348,9562424
35,treeDb_followProgress,34227,13903,20324,2,64,70,140,2772444,172,348,7887552
35,treeDb_last,41468,17633,23835,2,64,70,140,3368096,168,352,9620068
36,all,224414,100935,123479,2,64,72,144,18699804,176,356,54905980
36,treeDb_first,40234,17196,23038,2,64,72,144,3354096,176,352,9808744
36,treeDb_firstlastmaxtile,39547,20037,19510,2,64,72,144,3297332,184,356,9734812
36,treeDb_firstlastprogress,32423,13301,19122,2,64,72,144,2698006,184,352,7905012
36,treeDb_followMaxTile,39706,20140,19566,2,64,72,144,3310854,184,356,9772536
36,treeDb_followProgress,32320,13265,19055,2,64,72,144,2688448,184,356,7871244
36,treeDb_last,40184,16996,23188,2,64,72,144,3351068,184,356,9813632
37,all,215258,97028,118230,2,64,74,148,18405122,188,372,55543864
37,treeDb_first,38902,16432,22470,2,64,74,148,3327342,188,372,9985536
37,treeDb_firstlastmaxtile,38205,19491,18714,2,64,74,148,3268606,192,360,9920788
37,treeDb_firstlastprogress,30511,12548,17963,2,64,74,148,2605668,188,356,7863220
37,treeDb_followMaxTile,38312,19598,18714,2,64,74,148,3277696,192,360,9938996
37,treeDb_followProgress,30467,12466,18001,2,64,74,148,2600776,188,356,7842340
